Title,Framework,Hook Score,Why
"I Won 3 NCAA Titles…But It Cost Me Everything","I (Achieved big goal)…But It Cost Me Everything","+1399","Credibility – By starting this title with “I Won 3 NCAA Titles”, she shows you her experience and why she’s worth listening to. It also serves up this next reason that makes this title so good… Negativity – People love dramatic stories like this. Curiosity – This title builds curiosity in two ways: There’s contrast between “I Won 3 NCAA Titles” (yay) and “Cost Me Everything” (uh oh).



It opens a loop and makes you wonder what happened and what it cost her."
"What The 1% Teach Their Kids About Money","What The 1% Teach Their Kids About (Niche)","+1478","Authority – The fact that this video is about the 1% makes it feel more credible and desirable. Desire – People want to know what the 1% know about money so they can make more money, too. Curiosity – This opens a loop and makes you wonder what they teach their kids about money. Believability – The fact this is what the 1% teach their kids about money, and not what they’re trying to teach you (and potentially influence you for their gain), makes it more believable. You know they have their kids’ best interests at heart, so it feels more possible that you’ll actually get helpful information."
"The Japanese Rule That Teaches Kids Self-Discipline (Not Blind Obedience)","The [Authoritative culture] Rule That [Achieves goal] (Not [Shallow result])","+4048","Authority – Since many people view Japanese people as self-disciplined, the fact that this the “Japanese Rule” builds more trust and interest. Desire – Many parents want their kids to be more self-disciplined. Refute Objection – Many people don’t want their kids to have blind obedience, so this title refutes that objection"
"How learning 7+ languages ruined my English","How (Achieving goal) ruined my (Possession)","+733","Curiosity – It’s counterintuitive that a good thing (learning 7+ languages) would have a bad result (ruining her English). Negativity – Nobody wants to ruin their native language skills, so this grabs attention."
"How Many Americans REALLY Have $1 Million or More?","How Many (People) REALLY (Have reached a milestone)?","+1006","Curiosity – This title builds curiosity by asking a question. Status – This is all about status, a benchmark, and how the audience compares to everybody else."
"9 Things You Rarely Do for Your Dog (But Should Every Day)","9 Things You Rarely Do for [Possession] (But Should Every Day)","+3160","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Curiosity – There’s contrast between “rarely” and “every day”, which builds curiosity. Every Day – Telling people about things they should do “every day” makes your video feel more specific and interesting."
"How Often Should You Wash Your Towels? I Bacteria Tested Mine!","How Often Should You (Activity)? I (Entity) Tested Mine!","+11375","Curiosity – This title builds curiosity by asking a question. Experience – This title builds trust because it isn’t just her opinion, she actually has proof and experience testing her own towels. Negativity – There’s an undertone of fear that your towels are actually grosser than you think, which makes it more important to watch this video."
"13 Things Older Guitar Students Get WRONG (backed by science)","13 Things [Specific audience] Get WRONG (backed by science)","+844","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Negativity – Nobody wants to make a mistake or get things wrong, so this title does a great job of grabbing attention and interest. Specific Audience – Calling out a specific audience (“Older Guitar Students” in this case) makes them feel like you made the video specifically for them, so they’re more likely to click. Authority – “(backed by science)” brings some credibility to this title."
"This New Flying Vehicle from China Will Change Travel Forever","This New (Entity) from (Place) Will Change (Entity) Forever","+1236","New – People love new things. Curiosity – “Change Forever” builds curiosity because it tells you that things have changed, but not how they’ve changed. Epic – “Change Forever” also makes this title feel epic and interesting. “China” also brings a lot to this title. Some people have specific feelings about China, but it also just makes the title a little bit more specific, which makes it more interesting."
"5 Powerful Psalms You Need to Read Before the Start of A New Day","5 Powerful (Entities) You Need to (Activity) Before the Start of A New Day","+2219","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Moment – Talking about things that take place at a specific time is a great way to make a video more tangible and interesting."
"Tailors Don’t Want You to Know THIS Secret – Fix ANY Zipper in 2 Minutes!","(Authority figures) Don’t Want You to Know THIS Secret – (Achieve a goal) in (Short time frame)","+7760","Authority – Saying that tailors, the authority figures in this niche, don’t want you to know this secret makes it feel more exciting and conspirational. Curiosity – Talking about secrets is a great, simple way to build curiosity. Desire – This creator’s audience would love to fix any zipper in 2 minutes. Time Frame – The time frame of “in 2 Minutes” increases the desire and also makes this video feel more tangible and interesting."
"We’ve Lost Control of AI","We’ve Lost Control of (Polarizing topic)","+379","Negativity – People love controversial and scary things like this. Curiosity – This does a great job of starting a story, but not finishing it, so you have to click and see what’s going on. Confirms suspicions – AI’s impressive improvements have often been the main conversation around AI, but there are murmurs of AI getting out of control, and this title brings that fear to the spotlight."
"Become addicted to discipline in 1 day","Become addicted to (Activity or goal) in 1 day","+602","Controversy – Instead of just saying, “how to become disciplined,” this video uses a more controversial phrase: “Become addicted to discipline.” This grabs attention and makes this video feel a little spicy. Desire – This creator’s audience wants to be more disciplined. Time Frame – The time frame of “in 1 day” does two things: It makes it more desirable because it’s such a short time frame and people like speed.



It makes this video feel more tangible and, therefore, more interesting."
"Every Hidden Advantage of Your Body Type Explained In Detail","Every Hidden Advantage of (Attribute) Explained In Detail","+2011","Curiosity – “Hidden Advantage” makes you feel like you’re getting in on a secret. Desire – This is all about the viewer and makes them feel special for being the way they are."
"How the Jeep Got Its Name (It’s Not What You Think)","How [Subject] Got Its [Attribute] (It’s Not What You Think)","+2138","Curiosity – “(It’s Not What You Think)” makes you feel like you’re getting in on an unknown secret."
"This Job Easily Makes Millionaires… Why Does Nobody Want to Do It?","This (Entity) Easily Makes (Goal)… Why Does Nobody Want to Do It?","+675","Curiosity – This asks a counterintuitive question, which builds tons of curiosity. Why wouldn’t people want to do a job that easily makes millionaires? Desire – Most people would love to easily become a millionaire."
"What No One Tells You About The Worlds Largest Guitar Factory","What No One Tells You About The Worlds Largest (Entity)","+735","FOMO & Secret – “What No One Tells You” gives you a bit of FOMO and makes you feel like you’re getting in on a secret. Epic & Extreme – Extreme things, like “World’s Largest Guitar Factory”, make videos unique and give them an epic feeling."
"The Price of Progress: What Tokyo Looks Like at 8AM","The Price of (Goal): What (Entity) Looks Like at (Specific moment in time)","+1205","Moment – Talking about specific moments (like 8 AM, in this case) does a great job of building curiosity and making a video feel tangible and more interesting. Negativity – “Price of Progress” and the thumbnail let you know this video is about a struggle, and people love a dramatic struggle."
"93% of People Grocery Shop The Wrong Way (Here’s How To Fix It!)","93% of People [Activity] The Wrong Way (Here’s How To Fix It!)","+1402","Negativity – Nobody wants to do something the wrong way, so this grabs the audience’s attention. Curiosity – This builds curiosity in two ways: It opens a loop because it doesn’t give you any specific information about the wrong way to grocery shop, or how to fix it, but it makes you want to know both of those things.



It’s counterintuitive because since when is there a wrong way to do something as simple as grocery shopping?"
"Weirdest LEGO Minifigures Ever Made…","Weirdest (Entities) Ever Made…","+550","Curiosity – Using words like “weirdest” (or strangest, oddest, etc) is probably the easiest way to build curiosity. Epic & Extreme- “Weirdest” and “Ever Made” gives this video an extreme and epic feel."
"Never Say These 4 Things at Work (Protect Your Job)","Never [Action] These 4 Things at [Place] (Protect Your [Possession])","+718","Warning – Warnings like this do a great job of grabbing people’s attention. List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity."
"9 Strange Habits You Pick Up in the Military","9 Strange Habits You Pick Up (in Entity)","+1693","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Strange – Using words like “strange” (or weird, odd, etc) is probably the easiest way to build curiosity."
"What Mountain Men Understood About Cold That We Forgot","What (Authority Figures) Understood About (Problem) That We Forgot","+20883","Authority – “Mountain Men” are the pros when it comes to surviving the cold. Curiosity – “That We Forgot” makes you feel like you’re getting in on a long-forgotten secret."
"The Only Camera They Ever Made That Shoots Like Film","The Only (Entity) They Ever Made That (Achieves big goal)","+783","Scarcity – This video being about the “Only” camera that shoots like film adds scarcity to this title that makes this video and this camera way more interesting. Curiosity – This opens a loop and makes you wonder what this camera is."
"Yes, Your Makeup IS Aging You! | 8 Mistakes You Might Be Making & How To Fix Them","Yes, Your (Possession) IS (Unwanted result)! | 8 Mistakes You Might Be Making & How To Fix Them","+886","Confirms Suspicions – Confirming to your audience that what they suspect is true can be an excellent way to get them to click. “Yes, Your Makeup IS Aging You!” in this title gives them that feeling. List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Mistakes – Nobody wants to make mistakes, so mistakes often make for great video topics."
"She’s Shy. She Stutters. Then SHE SINGS… You Won’t Believe It!","(Objection). (Objection). Then (Action)… You Won’t Believe It!","+963","Curiosity – This title builds curiosity in two ways: There’s contrast between shy and stutters, and sings.



It opens a loop and makes you wonder what happens when she sings."
"Marriage Explained in 8 Minutes","(Entity) Explained in 8 Minutes","+1006","Time Frame – The time frame of 8 minutes makes this video feel more tangible and lets you know exactly what to expect. Curiosity – Attempting to explain something so important and complex in a short amount of time builds curiosity."
"Every Major League Baseball Pitch, Explained","Every (Entity), Explained","+599","Desire – This creator’s audience is into MLB pitches. Epic – “Every” makes this video feel complete and kinda gives it an epic feel."
"LAWYER:  NEVER Answer These 3 Police Questions!","(Authority Figure): NEVER (Specific Action)","+671","Authority – Starting this title with “LAWYER” builds trust and credibility in the content. Warning – Warnings like this grab the audience’s attention and add a little bit of stress, which makes people more likely to click your video. List – The list here serves to make this video feel more tangible and interesting, and build curiosity."
"Mechanics HATE These Reset Tips – It Fixes 97% of Car Problems for FREE","(Authority Figures) HATE These (Solutions) – It Fixes 97% of (Entity) Problems for FREE","+6068","Authority & Controversy – By talking about the fact that mechanics (authority figures) hate these tips (controversy), it increases their value. Desire – This creator’s audience would love to fix their car problems for free."
"42 STITCHES You Need To Know And Wardrobe ORGANIZATION Ideas","42 (Specific moves) You Need To Know And (Goal) Ideas","+13571","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Desire – This creator’s audience is into stitches and wardrobe organization. Specific – This is about specific stitches, which are very tangible and feel like they’re likely to be helpful. This not the case for abstract things like tips, which may or may not be helpful. Note: I’m typically not a fan of having 2 subjects in a title. I wonder if this video would have done just as well (or even better) if the second part, “And Wardrobe ORGANIZATION Ideas,” was deleted."
"To Hit Driver Straight Always Do This Before Every Swing","To Hit (Achieve Goal) Always Do This Before Every (Action)","+393","Desire – This creator’s audience would love to always hit their driver straight. Curiosity – This opens a loop and makes you want to know what “This” is. Moment – Talking about a specific moment, like “Before Every Swing” in this case, builds even more curiosity and makes this title more interesting."
"Women getting upset at men doing what they asked for","(Group) getting (Unexpected emotion) at (Requested activity)","+412","Curiosity & Humor – This title builds curiosity and humor because it’s counterintuitive. If men do what the women ask for, wouldn’t they be happy instead of upset?"
"8 Things You Should NEVER Do AFTER Uploading a YouTube Video","8 Things You Should NEVER Do AFTER (Activity)","+884","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – Warnings like this do a great job of grabbing the audience’s attention and getting them to click. Moment – Videos about specific moments, like “AFTER Uploading a YouTube Video” in this case, builds curiosity and makes this title more interesting."
"A Once in a Lifetime Economic Reset is Coming.","A Once in a Lifetime (Epic event) is Coming.","+924","Epic – “Once in a Lifetime” makes this topic feel epic. Curiosity – Talking about things that are coming in the future is a simple way to build curiosity because: 1) nobody knows what the future holds, and 2) everybody wants to know what the future holds. Negativity – “Economic Reset” has a negative connotation here (and the thumbnail emphasizes that), and people eat up scary, dramatic events."
"These SMALL SHIFTS cut 90% of the drama w/ my kids","These SMALL SHIFTS cut 90% of (Problems)","+632","Negativity – This is all about solving a problem. Curiosity – There’s contrast and tension between “small shifts” (something small) and “cut 90% of the drama” (something big)."
"What Polyglots Understand That Most People Don’t","What (Authority figures) Understand That Most People Don’t","+1306","Authority – Polyglots are the professional athletes of the language learning world, so they bring trust and credibility to this video. FOMO – This makes you feel like you’re missing out on important information polyglots have. Curiosity – This opens a loop and makes you want to know what they understand."
"What Happens When You Grow a Tomato from a Burger King Whopper?","What Happens When You (Absurd action)?","+2845","Curiosity – This builds curiosity in two ways: It asks a question.



More powerfully, it asks an impossible or weird question. The absurdity of growing a tomato from a Burger King Whopper is what makes this video so interesting."
"This 1-Minute Introduction Makes You Unforgettable","This 1-Minute (Entity) Makes You (Desired state)","+15218","Time Frame – The time frame of “1-Minute” does two things here: It makes this introduction feel more tangible and interesting.



It makes it feel more achievable since it’s so short. Desire – This channel’s audience would love to be unforgettable. Curiosity – This builds curiosity in two ways: It opens a loop and makes you want to know what the framework is.



There’s contrast between “1-Minute Introduction” (short and easy) and becoming unforgettable (a huge benefit)."
"9 Habits for Clearer Speaking (I Wish I Knew Sooner)","9 Habits for [Goal] (I Wish I Knew Sooner)","+734","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creators audience would love to speak clearer. Regret – There’s a hint of regret with “(I Wish I Knew Sooner)” to increase the value of these habits. Habits – “Habits” is one of those power words that often works well on YouTube."
"In 4 minutes I’ll make you stop consuming, and start creating","In 4 minutes I’ll make you stop (Unwanted action), and start (Desired action)","+841","Time Frame – The time frame of 4 minutes makes this video feel more tangible and also increases the value because it makes you feel like you’re getting a lot for a little. Desire – This creator’s audience wants to start creating. Negativity – A huge part of this title’s success is moving away from something bad."
"Las Vegas Is Only For Rich People Now. No Wonder It’s Empty.","(Entity) Is Only For (Negative entity) Now. No Wonder It’s (Negative state).","+1286","Negativity – People are drawn to dramatic, resentful, conspirational statements like this."
"The Japanese Student Routine That Helps You Remember EVERYTHING","The (Authority) Routine That Helps You (Achieve Big Goal)","+2451","Authority – Many people respect Japanese students, so labeling this the “Japanese Student Routine” builds credibility and increases the audience’s desire to watch it. Desire – This creator’s audience would love to remember everything."
"What actually WORKED to Learn FRENCH (No Apps, No Hacks)","What actually WORKED to [Achieve goal] (No [Common, but unwanted solutions])","+368","Desire – This creator’s audience would love to know what will actually work to help them learn French. Curiosity – This opens a loop and makes you wonder what it is that actually worked. Refute Objection – Many people who’ve tried to learn French are sick of apps and hacks, so this title refutes that objection with, “(No Apps, No Hacks).”"
"This Meal Prep Has 70g of Protein and Tastes Like a Cheat Meal","This (Entity) Has (Benefits)","+575","Desire – This lists out two benefits: 70g of Protein



Tastes like a cheat meal Curiosity – By not mentioning what the meal actually is, it opens a loop and makes you want to click even more."
"God’s Warning: 7 Types of People You Must Not Help","(Authority Figure’s) Warning: 7 Types of (Entities) You Must Not (Activity)","+619","Authority – Dropping in an authority figure in the beginning lends credibility to your video. List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – This leverages negativity in two different ways: It’s a warning



It’s about people you should not help"
"You Need to Be Bored. Here’s Why.","You Need to Be (Bad state or action). Here’s Why.","+2782","Curiosity – Counterintuitive statements like this do a great job of building curiosity and getting people to click."
"This Winter Is Looking VERY Weird…","(Upcoming entity) Is Looking VERY Weird…","+661","Curiosity – This title builds curiosity in two ways: It’s about the future, and since the future is unknown, it’s a naturally curiosity-filled topic.



The word “weird” also sparks curiosity because it means this video is about something different than normal, and people want to know what’s different about it."
"I built one website 20 times— to find the BEST website builder","I (Activity) 20 times— to find the BEST (Tool)","+768","Credibility – This title builds trust because it’s not just an opinion of some website builders, he’s showing proof that he put in a lot of effort to find the truth. Desire – This creator’s audience wants to know about the best website builder."
"They Promised to Make Social Security Tax-Free — But Here’s What They’re Doing Instead","They Promised to (Benefit)— But Here’s What They’re Doing Instead","+840","Negativity – Talking about what “They” promised to do, but aren’t doing, is a great way to give your title a feeling of drama and conspiracy, which is intoxicating to many viewers. Curiosity – “But Here’s What They’re Doing Instead” opens a loop so you have to click to find out what they’re doing."
"Don’t Buy a SINGLE Thing at Marshalls Until You Watch This!","Don’t (Activity) a SINGLE (Entity) at (Place) Until You Watch This!","+1200","Negativity – Warnings with urgency like this do a great job of grabbing the audience’s attention and getting them to click. The word “SINGLE” also does a few things: it makes this title feel more focused, intense and confident."
"The Worst Snake Bites in the US Ranked","The Worst (Entities) Ranked","+582","Negativity – People are drawn to scary things like this. Epic & Extreme – “The Worst” is way more exciting and interesting than just “Really Bad.”"
"SECRET Weapon for a MOLD-FREE Home (It’s Not What You Think)","SECRET Weapon for a [Problem]-FREE [Entity] (It’s Not What You Think)","+613","Curiosity – This makes you feel like you’re getting in on a secret in two ways: “SECRET Weapon” obviously makes you feel like you’re getting in on a secret.



“(It’s Not What You Think)” reinforces that feeling. Negativity & Desire – This is all about a problem and solution: having a mold-free home."
"$500 vs $5,000 vs $50,000 Websites (With Examples)","[Low Price] vs [Mid Price] vs [High Price] [Entities] (With Examples)","+990","Curiosity – This builds curiosity in two ways: Comparing different things against each other does a great job of building curiosity.



The contrast of the different prices enhances the curiosity."
"The Feminine Hygiene Routine No One Taught Us","The (Entity) No One Taught Us","+2247","Curiosity – “No One Taught Us” gives you a little bit of FOMO and makes you feel like you’re getting in on a secret. Taboo – Taboo, sensitive, or personal things like feminine hygiene do a great job of grabbing people’s attention."
"I took an “entry level” CIA test","I took a (“easy” version of hard thing)","+727","Tension – The tension of doing something hard, like taking a CIA test, makes for an interesting and exciting video. Contrast – The contrast between “entry level” and the extremely elite CIA builds curiosity and interest."
"I Designed a Full Brand Using ONLY ChatGPT, here’s what happened","I (Action) Using ONLY ChatGPT, here’s what happened","+1466","Curiosity – This opens a loop and makes you want to know what happened. Constraint – The constraint of using “ONLY ChatGPT” makes this more challenging and interesting."
"They’re Forcing You Out of Your Job—But Not Saying It!","They’re (Controversial action) —But Not Saying It!","+1686","Negativity – Controversy and conspiracy like this do a great job of grabbing people’s attention, riling them up and getting them interested in your video. Curiosity – The “But Not Saying It” part makes you feel like there’s a secret going on."
"If I Claimed Social Security Again, I’d Do This Instead","If I (Action) Again, I’d Do This Instead","+10607","Specific Audience – This calls out the right audience by mentioning a specific situation. Curiosity – This opens a loop and makes you want to know what he would do instead."
"Social Media Is About to Change Forever (and nobody even realises)","[Entity] Is About to Change Forever (and nobody even realises)","+625","Curiosity – This leverages curiosity in two ways: “Change Forever” opens a loop and makes you want to know what changed and how.



“(and nobody even realises)” makes you feel like you’re getting in on a secret. Epic – “Change Forever” also makes this video feel epic."
"The Day the World Changed FOREVER – Hiroshima: Minute by Minute","The Day (Entity) Changed FOREVER – (Entity): Minute by Minute","+1223","Negativity – People can’t get enough of dramatic events like this. Specific – This is specific in two ways: It’s about a single day.



It goes through that day minute by minute. Many people think being vague in your titles builds curiosity and makes people want to watch your video, and it can, but talking about specific details like this often does a great job of building curiosity and interest, too. Epic – Like in the social media video above, “Changed Forever” makes this video feel epic."
"99% Of People STILL Don’t Know The Basics Of Prompting (ChatGPT, Gemini, Claude)","99% Of People STILL Don’t Know The Basics Of (Action or niche)","+1455","Beginner – Making videos for beginners, in this case, talking about “the basics,” is a great way to attract a large audience that’s eager to learn. Desire – This creator’s audience is into prompting tips. Curiosity – Talking about things “99% Of People STILL Don’t Know” gives you a little FOMO and makes you feel like you’re getting in on a secret."
"How to Be So Productive It Feels ILLEGAL (No Motivation Needed)","How to Be So [Desirable attribute] It Feels ILLEGAL (No [Typically necessary, but unwanted thing] Needed)","+1524","Desire – This creator’s audience wants to be more productive. Controversy – Adding “It Feels ILLEGAL” brings some spice and controversy, and makes this video feel more interesting. Refute Objection – Most people think you need to be motivated to be productive, but this title gets rid of that assumption with “(No Motivation Needed).”"
"Don’t Throw It Away! Here’s How to Save Clothes That Got Too Tight","Don’t (Expected action)! Here’s How to Save (Unsalvagable things)","+506","Negativity – This starts with a warning to grab your attention. Curiosity – This is counterintuitive because you’d think clothes that are too tight can’t be saved. Desire – This audience would love to save clothes that don’t fit anymore."
"Top 10 1960s Protest Songs That Still Resonate Today","Top 10 (Nostalgic, controversial things) That Still (Action) Today","+1098","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Curiosity – There’s contrast between “1960s Songs” and “Still Resonate Today”. Nostalgia – Nostalgia works great for many niches. Negativity – “Protest Songs” brings some controversy and spice to this video."
"7 Best Jobs for People Starting Over","7 Best (Entities) for (Underdog)","+1296","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Specific Audience – By calling out a specific audience (“People Starting Over”), this makes this video feel like it was made for them, so they’re more likely to click. Desire – People starting over are likely eager to learn about the best jobs for themselves. Negativity – People starting over are often struggling, and making videos for people who are struggling is an excellent strategy because they’re often open to learning and change."
"2025: The end of our world as we know it | Peter Leyden","(Current or Upcoming Year): The end of (Entity) as we know it","+8695","Negativity – Drama and controversy like this do a great job of grabbing attention. Timeliness – This drops in the current year to let you know this is relevant right now. Curiosity – This opens a loop and makes you wonder what’s going to happen to our world."
"10 Common Weeds That Are Actually Expensive Superfoods (Growing in Your Yard Right Now!)","10 Common [Unwanted entities] That Are Actually [Desirable entities] ([Action] in Your [Possession] Right Now!)","+419","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Curiosity – It’s counterintuitive that common weeds would actually be expensive superfoods. Desire – This creator’s audience would love to find expensive superfoods in their yard."
"10 Subtle Signs Of Autism Most Parents Miss","10 Subtle Signs Of (Entity) Most (Specific audience) Miss","+467","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Curiosity – “Subtle Signs” and “Most Parents Miss” build curiosity because it feels like you’re getting in on some secret insider knowledge."
"How Farmers Walks Completely Change The Human Body","How (Activity or thing) Completely Change (Possession)","+1145","Curiosity – This builds curiosity because it’s about change, but it doesn’t specify what will change or how it will change. Desire – The thumbnail and tone of this title hint that the change is something awesome."
"95% Tax on Inherited IRAs and How to AVOID it!","(Problem) and How to AVOID it!","+2106","Negativity – Videos about avoiding big problems like this do a great job of grabbing attention."
"5-Minute No Foundation Makeup With Just 5 Products | Quick & Easy Everyday Look","5-Minute No (Typical, but unwanted tactic) (Activity) With (Constraint) | Quick & Easy (Entity)","+920","Time Frame – The time frame of 5 minutes makes this more tangible and desirable. Constraint – The constraints of this makeup only requiring 5 products, not requiring any foundation, and only taking 5 minutes, make it more interesting and appealing. List – The list of 5 products adds curiosity because you want to know what they are. Refute Objection – If you don’t like foundation, this title gets rid of that objection by promising you don’t need it. Desire – This creator’s audience is into makeup, and “Quick & Easy” adds to the desire."
"This One Parking Trick Works EVERY Time.","This One (Activity) Trick Works EVERY Time.","+2152","Constraint – The fact that this is about just one trick makes you more interested in the trick and increases the value of it. It also makes for an easier decision to watch this video — you just need to learn about one trick to help your parking, not a list of 20. Curiosity – This opens a loop and makes you wonder what the trick is. Desire – This creator’s audience is into parking tricks. Absolute – Words like “Every”, “Any”, “Always”, and “Never” often work great on YouTube because people are drawn to strong, bold opinions."
